sample_id,plant_height
L371,133.9166667
L372,139.75
L373,166.6666667
L376,118.75
L377,119.6666667
L378,122.9
L379,130.6666667
L380,100.0
L381,132.5833333
L384,128.0833333
L385,128.8333333
L386,113.0833333
L387,88.08333333
L388,96.18181818
L389,120.5833333
L390,120.1666667
L391,101.6666667
L392,121.8333333
L394,118.3333333
L395,117.5
L396,91.66666667
L397,91.83333333
L398,106.8333333
L399,94.33333333
L400,109.5833333
L616,111.0
L618,86.83333333
L619,81.83333333
L620,110.1666667
L621,91.5
L622,84.66666667
L623,105.5
L624,98.16666667
L625,102.1666667
L626,96.16666667
L627,78.33333333
L628,75.16666667
L629,98.0
L630,88.66666667
L632,94.83333333
L633,88.16666667
L634,107.1666667
